gsd_rank,region,name,country,tiktok_url,tiktok_followers,primary_url,platform_type,institutional_employer,content_language,atlas_tier,tier_rationale,gsd_bio_excerpt,notes,scrub_tier,scrub_rationale,upgrade_evidence,duncan_question
20,Africa,Nsoatreman TV,Ghana,https://www.tiktok.com/@nsoatremantv1,UNVERIFIED,,TikTok-only,Unknown,English,B,Blends journalism with philanthropy and music promotion — brand name suggests own channel but no confirmed publishing home.,"Ghanaian media figure blending journalism with philanthropy and music promotion across broadcast and digital platforms.",Brand name implies own outlet but unclear if journalism-primary. TIER B.,B-final,Brand identity confirmed but content blend (journalism/philanthropy/music) and TikTok-primary presence insufficient for upgrade.,,Is Nsoatreman TV primarily a journalism operation and does it have a website or podcast beyond TikTok?
23,Africa,Christian Chez Vous,Republic of the Congo,https://www.tiktok.com/@christianlawu,UNVERIFIED,https://www.youtube.com/@CHRISTIANCHEZVOUS,YouTube,Independent,French,B,Covers political affairs and conflict with own brand but no employer or independent publishing home confirmed.,"Congolese journalist exploring political affairs and conflict, building platforms for civic discourse and spotlighting underreported stories.",Independent-sounding mission but employer unconfirmed. No newsletter/podcast found. TIER B.,A,"YouTube channel @CHRISTIANCHEZVOUS has 179K subscribers and 45.83M total views covering DRC/Africa current events; described as 'the Congolese reference for following current events in DRC, Africa and the world in real time'; no institutional employer found; meets upgrade criteria on YouTube (179K) and journalism under own brand.",https://www.youtube.com/@CHRISTIANCHEZVOUS,
28,Africa,All Star Blog,Ghana,https://www.tiktok.com/@allstarblogg,UNVERIFIED,,TikTok-only,Unknown,English,B,FIFA and CAF accredited sports journalist with own brand name but no confirmed independent website/newsletter.,"Accredited sports journalist with FIFA and CAF credentials.",Own brand but no publishing home confirmed beyond social. TIER B.,B-final,FIFA/CAF credentials confirmed but no website/newsletter/YouTube found for All Star Blog brand.,,Does All Star Blog have a website or newsletter beyond social media?
29,Africa,Hassannoor Ciyaarjaceyl,Kenya,https://www.tiktok.com/@hassannoorciyaarjaceyl,UNVERIFIED,,TikTok-only,Unknown,Somali/English,B,Provides real-time reporting and political commentary — no confirmed employer or independent platform.,"Journalist providing real-time reporting and political commentary.",Insufficient information. UNVERIFIED employer and platform.,B-final,No employer or platform data found after research.,,Can you confirm Hassannoor Ciyaarjaceyl's employer or any independent publishing home?
31,Africa,Donald Prince Kouassi,Benin,https://www.tiktok.com/@donaldprincekpanou,UNVERIFIED,,TikTok-only,Unknown,French,B,Religious journalist covering community stories — no employer or independent platform confirmed.,"Religious journalist covering faith-based community stories.",No employer or platform data. TIER B.,B-final,No independent publishing platform or employer found; religious journalism niche limits research avenues.,,What specific faith outlet does Donald Prince Kouassi report for? Does he have a podcast or website?
32,Africa,El Solo TV,Benin,https://www.tiktok.com/@1.elsolotv,UNVERIFIED,,TikTok-only,Unknown,French,B,Creator brand blending comedy/poetry/commentary — entertainment-leaning; no confirmed journalism employer or independent outlet.,"Multi-talented creator blending comedy, poetry and journalistic commentary.",Content blend tilts toward entertainment. TIER B.,C,Content is confirmed entertainment-primary (comedy/poetry/commentary blend); no journalism platform or employer found; meets downgrade criterion for entertainment-primary content.,,
34,Africa,Xaaji Mideeye,Somalia,https://www.tiktok.com/@xaajimideeye2,UNVERIFIED,,TikTok-only,Independent (self-described),Somali,B,Self-described independent journalist but no confirmed publishing platform beyond TikTok/social media found.,"Independent journalist publishing breaking news and real-time reporting.",Bio says independent — no research confirms newsletter/podcast/website. TikTok-only defaults to TIER B.,B-final,TikTok content confirmed as Somaliland political commentary; no YouTube channel or website found.,,Does Xaaji Mideeye have any publishing platform beyond TikTok — YouTube/podcast/website?
36,Africa,Jean-Baptiste Kabeya,Democratic Republic of the Congo,https://www.tiktok.com/@wayako4,UNVERIFIED,,TikTok-only,"Community radio, online outlets",French,B,Works with community radio and online outlets — possible independent operation but no confirmed standalone platform.,"Political journalist reporting for community radio and online outlets.",Could be community-independent. TIER B — needs further research.,B-final,No named community radio station or online outlet confirmed after multiple searches; LinkedIn profile exists but no independent platform details.,,What is the name of Jean-Baptiste Kabeya's community radio station? Is it independently operated with its own editorial board?
37,Africa,Germain Muloko,Democratic Republic of the Congo,https://www.tiktok.com/@germainmuloko1,UNVERIFIED,,TikTok-only,Unknown,French,B,Described as journalist and media director — institutional role likely but outlet not confirmed.,"Journalist and media director overseeing journalistic content.",Insufficient info. TIER B.,B-final,No outlet or platform confirmed; 'media director' title suggests institutional affiliation but unconfirmed.,,What outlet does Germain Muloko direct? Is it an independent or institutional media organization?
39,Africa,Elimane Cissé,Senegal,https://www.tiktok.com/@elimane_cisse,UNVERIFIED,,YouTube,Unknown,French/Wolof,B,Sports journalist with own YouTube channel — has secondary platform but no confirmed independent editorial home.,"Sports journalist and YouTuber streaming football and martial arts.",YouTube presence is a positive signal but not sufficient alone for TIER A.,B-final,YouTube channel confirmed at @Elimane but subscriber count not confirmed and not in top 100 Senegalese channels — likely below 5K threshold.,,How many YouTube subscribers does Elimane Cissé have and is his content journalism-primary (news/analysis) or primarily live sports streaming?
40,Africa,Munakabanga,Uganda,https://www.tiktok.com/@munakabangaofficial,UNVERIFIED,,TikTok-only,Unknown,English,B,Sports commentator with no confirmed employer or independent platform.,"Sports commentator combining live analysis with in-depth coverage.",Insufficient information. TIER B.,B-final,No employer or independent platform data found.,,Is Munakabanga freelance or employed by an outlet? Does he have a podcast or YouTube channel?
41,Africa,Danladi Rock,Ghana,https://www.tiktok.com/@danladirock,UNVERIFIED,,TikTok-only,Unknown,English,B,Musician and journalist — hybrid identity with no confirmed primary journalism employer or independent outlet.,"Musician and journalist weaving social commentary into musical content.",Music-journalism hybrid. Unclear independence.,B-final,Musician/journalist hybrid; content is music-integrated commentary; no journalism-primary platform found.,,Does Danladi Rock have a journalism-primary platform beyond TikTok (newsletter/podcast/YouTube news channel)?
42,Africa,Mbaye Anta,Senegal,https://www.tiktok.com/@chronique_de_mbaye,UNVERIFIED,,TikTok-only,Unknown,French/Wolof,B,Sports journalist specializing in football — no employer or independent platform confirmed.,"Sports journalist specializing in football coverage and local talent.",Insufficient info. TIER B.,B-final,No employer or independent publishing platform found.,,Is Mbaye Anta freelance or employed? Does he have a newsletter/podcast/YouTube?
43,Africa,Presenter Athman,Kenya,https://www.tiktok.com/@presenter_athman,UNVERIFIED,,TikTok-only,Unknown (radio),English/Swahili,B,Blends radio and sports commentary — radio role suggests institutional but outlet unnamed.,"Journalist blending radio, sports commentary and lifestyle storytelling.",Radio role = likely institutional. TIER B pending outlet confirmation.,B-final,Radio role suggests institutional employer; no outlet named and no independent platform found.,,What radio station does Presenter Athman work for and is it independently operated?
47,Africa,Mohamed Ally (Magical Moha),Kenya,https://www.tiktok.com/@magicalmoha,302600,https://www.facebook.com/magicalmoha/,TikTok-only,Independent (self-described),English/Swahili,B,Self-described independent investigative journalist with 302K+ TikTok followers — no independent publishing platform confirmed beyond social media.,"Investigative journalist using direct style to highlight political and justice issues.",Active on TikTok/Facebook/YouTube. Strong follower count but no newsletter/podcast/website as primary home. TIER B.,B-final,YouTube channel @magicalmoha confirmed; described as freelance investigative journalist covering Northern Kenya; subscriber count could not be confirmed — needs verification against 5K threshold for upgrade.,,How many subscribers does Magical Moha's YouTube channel have? Is he confirmed as freelance/self-employed with no current institutional employer?
48,Africa,Dokteur Mouaz,Cameroon,https://www.tiktok.com/@dokteur_mouaz,UNVERIFIED,,TikTok-only,Unknown,French,B,Journalist and IT entrepreneur combining news with tech — no confirmed employer or independent publishing home.,"Journalist and IT entrepreneur combining news updates with tech insights.",Dual identity. Insufficient info for tier upgrade.,B-final,No journalism-specific platform or employer found; IT entrepreneurship identity complicates independence assessment.,,Does Dokteur Mouaz have a journalism platform beyond TikTok — newsletter/YouTube/website?
49,Africa,Alex Charming,Ghana,https://www.tiktok.com/@alexcharmingdotcomm,UNVERIFIED,,TikTok-only,Unknown,English,B,Blogger/journalist/lab tech — multimedia but no confirmed independent journalism platform or employer.,"Blogger, journalist, and lab tech creating informative multimedia content.",Triple-identity creator. TIER B.,B-final,Triple-identity (blogger/journalist/lab tech) with no confirmed journalism-primary platform.,,Does Alex Charming have an active journalism blog or website (alexcharming.com or similar)?
50,Africa,Feleke Demissie,Ethiopia,https://www.tiktok.com/@felekedemissieoffical,UNVERIFIED,,TikTok-only,Unknown,Amharic,B,Sports journalist with no confirmed employer or independent platform.,"Sports journalist sharing news, reviews, and analysis with engaging storytelling.",Insufficient info. TIER B.,B-final,No employer or independent platform found.,,Is Feleke Demissie freelance or employed? Does he have a podcast/YouTube/newsletter?
51,Africa,Hodmanshow,Kenya,https://www.tiktok.com/@hodmanshow,UNVERIFIED,https://www.youtube.com/channel/UCe2yI3hbsE_K0rxuxkd6dMA,YouTube,Unknown (SNTV associated),Somali/English,B,Has blog/interview format but no confirmed independent publishing home with editorial separation from social media.,"Somali journalist (Hodman Cadceed Gelle) sharing news through interviews and blogs with relatable, accessible style.",Blog presence is positive signal. TIER B.,B-final,Founder/CEO of Hodmanshow confirmed; YouTube channel confirmed; but also associated with Somali National Television (SNTV) — dual affiliation and subscriber count unconfirmed.,,Is Hodmanshow primarily Hodman's independent operation or is he primarily employed by SNTV? How many YouTube subscribers does the Hodman Show channel have?
52,Africa,Nana Boadu Obuobi,Ghana,https://www.tiktok.com/@nanaboaduobuobi,UNVERIFIED,https://www.youtube.com/c/BoaduTV,YouTube,Angel FM (primary — confirmed 2025),English,B,Staff at Angel FM (institutional) but also runs own Boadu TV YouTube channel — dual affiliation keeps this at TIER B.,"Award-winning broadcast journalist, blogger, and media consultant producing content through Boadu TV YouTube channel.",Has independent YouTube brand (Boadu TV) alongside institutional role at Angel FM. TIER B.,B-final,Confirmed still hosting Angel FM news programs as recently as June 2025 (Angel Mid-Day News/Weekend News/Evening News); Boadu TV YouTube channel is secondary to institutional primary role.,,How many subscribers does Boadu TV YouTube have and how frequently does Nana Boadu publish independent content distinct from his Angel FM work?
53,Africa,Gina Show,Ghana,https://www.tiktok.com/@gina1show,UNVERIFIED,,TikTok-only,Unknown,English,B,Journalist creating TikTok content — own brand but no publishing home beyond social media confirmed.,"Ghanaian journalist creating TikTok content presenting relevant news with clear, accessible narrative explanations.",TikTok-only defaults to TIER B.,B-final,No platform beyond TikTok found after research.,,Does Gina Show have any platform beyond TikTok — YouTube/newsletter/website?
54,Africa,Kaosara Omo Yoruba,Nigeria,https://www.tiktok.com/@kaosaraomoyoruba,UNVERIFIED,,TikTok-only,Independent (freelance),English,B,Self-described freelance journalist and social media manager — freelance status is positive but no independent publishing home confirmed.,"Social media manager, freelance journalist, and content creator producing diverse content covering news, lifestyle, and insights.",Freelance but TikTok-only platform. TIER B.,B-final,Freelance status is positive but no independent newsletter/podcast/website confirmed; social media management role alongside journalism creates independence questions.,,Does Kaosara Omo Yoruba have a newsletter/podcast or website beyond social media?
55,Africa,Diketso Maja,South Africa,https://www.tiktok.com/@diketsomaja,UNVERIFIED,,TikTok-only,Unknown,English,B,Content creator/journalist/actor/MC hybrid — no confirmed primary journalism employer or independent outlet.,"South African content creator, journalist, actor, and MC blending informative reporting with entertainment through storytelling.",Hybrid entertainer-journalist identity. TIER B.,B-final,Multi-role identity (creator/actor/MC) makes journalism primacy unclear; no independent journalism platform found.,,Is Diketso Maja's primary output journalism or entertainment? Any journalism-specific platform beyond TikTok?
56,Africa,Denis Duke,Uganda,https://www.tiktok.com/@denisdukeug,UNVERIFIED,https://www.youtube.com/c/denisdukeuganda,YouTube,Unknown (formerly NBS TV/Urban TV),English,B,Journalist and YouTuber combining professional journalism with farming content — has YouTube but employer unclear.,"Ugandan journalist, farmer, and YouTuber combining professional journalism with farming and life reflections.",YouTube is a positive signal. No institutional employer confirmed. TIER B.,B-final,"YouTube channel has 221K subscribers but channel is described as 'Uganda's number one Farming Channel' — content is farming/travel/lifestyle-primary not journalism-primary; no current journalism employer found (formerly NBS TV/Urban TV). Positive YouTube signal but journalism is secondary to lifestyle content.",,"Is Denis Duke's YouTube content primarily journalism or farming/lifestyle? Has he returned to active journalism in the past 12 months?"
57,Africa,Daniel Gebreegziabher,Ethiopia,https://www.tiktok.com/@danigebre1,UNVERIFIED,,TikTok-only,Unknown,Amharic,B,Broadcast journalist and influencer — employer unclear but the broadcast descriptor suggests institutional affiliation.,"Broadcast journalist and award-winning influencer delivering daily updates with dynamic storytelling across multiple platforms.",Broadcast journalist = likely institutional. TIER B.,B-final,Broadcast journalist descriptor suggests institutional employer; no employer confirmed or independent platform found.,,Who employs Daniel Gebreegziabher as a broadcast journalist? Is it an independent or institutional outlet?
59,Africa,Emerson Ngoma,Democratic Republic of the Congo,https://www.tiktok.com/@emersonngoma,UNVERIFIED,,TikTok-only,Unknown,French,B,Journalist and content creator — entirely vague with no confirmed platform or employer.,"Journalist and content creator sharing informative news updates, analysis, and journalistic content across platforms.",Insufficient info. UNVERIFIED.,B-final,No employer or platform found after research.,,Can you confirm any employer or independent publishing platform for Emerson Ngoma?
61,Africa,Mideli W'Abanyarwanda,Rwanda,https://www.tiktok.com/@mideli_rwanda,UNVERIFIED,https://www.youtube.com/@midelirwand,YouTube,Unknown,Kinyarwanda,B,Entertainment journalist with YouTube channel — operates under own brand but no confirmed editorial independence from institutional affiliation.,"Prominent Rwandan journalist and content creator recognized as The Hottest Personal Journalist 2025 for engaging storytelling.",YouTube + TikTok presence; primarily entertainment content. TIER B.,B-final,Confirmed as Rwanda/Burundi talent promoter and entertainment journalist — 'The Hottest Personal Journalist 2025' is entertainment award; content is talent promotion not news journalism.,,Is Mideli W'Abanyarwanda's content primarily journalism (news/analysis) or entertainment talent promotion?
62,Africa,Hafid Nor Barre,Somalia,https://www.tiktok.com/@hafidnorbarre,UNVERIFIED,,TikTok-only,Unknown,Somali,B,Senior mobile journalist in Mogadishu — employer unclear but seniority suggests institutional affiliation.,"Senior mobile journalist in Mogadishu using mobile devices for on-the-ground reporting despite safety challenges.",Seniority implies employer. TIER B.,B-final,Senior journalist status suggests employer; no outlet or independent platform confirmed.,,Who employs Hafid Nor Barre and is that outlet independently operated?
63,Africa,Derick Lunkeba,Democratic Republic of the Congo,https://www.tiktok.com/@dericklunkeba,UNVERIFIED,,TikTok-only,Unknown,French,B,Manages Congo Mon Pays Facebook page — own brand but unclear if primary journalism operation.,"DRC journalist managing Congo Mon Pays Facebook page, engaging with political and social topics online.",Facebook page brand. TIER B.,B-final,Congo Mon Pays Facebook page has 78K likes confirming an audience; but cannot confirm Derick Lunkeba is the editorial owner vs. a contributor; no YouTube subscriber count confirmed.,,Is Congo Mon Pays Derick Lunkeba's own editorial operation? How many YouTube subscribers does that channel have?
65,Africa,Hon Guruh Buvati,Kenya,https://www.tiktok.com/@honguruh,UNVERIFIED,,TikTok-only,Unknown,English/Swahili,B,Journalist/photographer/computer expert — multi-skilled but no confirmed employer or independent outlet.,"Kenyan journalist, photographer, and computer expert sharing photography, journalistic updates, and professional commentary.",Insufficient info. TIER B.,B-final,No employer or independent platform found after research.,,Is Hon Guruh Buvati freelance or employed? Does he have any journalism platform beyond TikTok?
69,Africa,Jamie Radio,Uganda,https://www.tiktok.com/@jamieradiouganda,UNVERIFIED,,TikTok-only,Unknown,English,B,Investigative journalist (Katumba Jamil) with own brand — independent-sounding but no newsletter/podcast/website confirmed.,"Investigative journalist (Katumba Jamil) blending serious reporting with comedy for engaging, relatable news updates.",Own brand identity with investigative focus. TIER B — could upgrade if independent platform confirmed.,B-final,Research reveals Jamie Radio UG is primarily known as a TikToker known for mimicking NTV journalist Solomon Kaweesa's voice — content is comedy/entertainment rather than genuine investigative journalism.,,Is Jamie Radio's primary content investigative journalism or comedy/entertainment (the TikTok voice-mimicking format)?
70,Africa,Calister O. Enejele,Nigeria,https://www.tiktok.com/@iamcali_e,UNVERIFIED,,TikTok-only,Unknown,English,B,FIFA and CAF accredited sports journalist — professional credentials confirmed but employer and platform unknown.,"FIFA and CAF-accredited international sports journalist covering football with global perspective through news and interviews.",Credentials confirmed; independence status unclear. TIER B.,B-final,FIFA/CAF accreditation confirmed; no employer or independent platform found.,,Is Calister O. Enejele freelance or staff-employed? Does she have a newsletter/podcast/website beyond TikTok?
72,Africa,Isma'eel Abba Tangalashi,Nigeria,https://www.tiktok.com/@tangasport360,UNVERIFIED,,TikTok-only,Unknown,English/Hausa,B,Award-winning sports journalist — no confirmed employer or independent platform found.,"Award-winning Nigerian sports journalist and football commentator covering local and international football across multiple platforms.",Insufficient info to confirm independence. TIER B.,B-final,Award-winning credentials noted; no employer or independent platform found after research.,,Is Isma'eel Abba Tangalashi freelance or employed? Does he have a newsletter/podcast/website?
73,Africa,Maged Gazr,Egypt,https://www.tiktok.com/@magedgazr1,UNVERIFIED,,TikTok-only,Unknown,Arabic,B,Sports journalist combining traditional reporting with social media — no confirmed employer or platform.,"Egyptian sports journalist combining traditional reporting with social media reach, breaking down football and athletic events.",Insufficient info. TIER B.,B-final,No employer or independent platform found.,,Is Maged Gazr freelance or employed by an outlet? Any independent publishing home beyond TikTok?
75,Africa,John Fuamba,Democratic Republic of the Congo,https://www.tiktok.com/@johnfuambacom1,UNVERIFIED,,YouTube,Unknown,French,B,Journalist with TikTok and YouTube — has secondary platform but no confirmed employer or independent editorial operation.,"Congolese journalist delivering news and commentary on politics and society through accessible short videos on TikTok and YouTube.",YouTube presence is a positive signal. TIER B.,B-final,YouTube channel confirmed but subscriber count not found; no employer confirmed; cannot determine if content is journalism-primary.,,How many YouTube subscribers does John Fuamba have and is his content journalism-primary (news/politics)?
1,Latin America,Manuel Pedrero,Mexico,https://www.tiktok.com/@manuelpedrerooficial,592000,https://www.youtube.com/channel/UCH4M_4Ed6SUidQthmZ60M2g,YouTube,Independent (Los Reporteros MX founder),Spanish,B,"Hosts own ""Sin Máscaras"" YouTube news show (Mon-Fri 4PM) and serves as networks director for Los Reporteros MX — independent in format but unclear funding/editorial control; noted as pro-government aligned.",At 22 described as one of the most influential young voices in independent journalism who successfully connected with new generations.,592K TikTok followers. YouTube show exists but pro-government alignment and affiliation with Los Reporteros MX create independence questions. Needs Ryan review.,A,"Confirmed founder of Los Reporteros MX; hosts daily Sin Máscaras YouTube news show; 1.1M YouTube subscribers (reached 900K May 2025); won 2026 Premio Nacional de Periodismo in Digital Journalism at age 23 — youngest ever recipient; fully independent digital operation meeting YouTube (1.1M) and own brand criteria.",https://www.youtube.com/channel/UCH4M_4Ed6SUidQthmZ60M2g,
5,Latin America,Adrián Ackerman,Argentina,https://www.tiktok.com/@factosconadrian.ok,UNVERIFIED,https://factosconadrian.com,Website,Independent,Spanish,B,Runs own website Factosconadrian.com and YouTube — operates independently but content is partisan political commentary rather than journalism.,"Argentine content creator noted for political and social opinion videos seeking to open debates on national political issues.",Has own website. Content is political advocacy/commentary in defense of libertarian ideas — not traditional journalism. TIER B.,B-final,factosconadrian.com confirmed active; but X/Twitter content shows strongly partisan engagement (profanity directed at political figures) — content is political advocacy not journalism; no Atlas fit.,,Is Adrián Ackerman's content journalism (fact-based reporting/analysis) or primarily political advocacy?
6,Latin America,Marcela Marvel,Brazil,https://www.tiktok.com/@marcelamarveloficial,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Journalist teaching journalism workshops and sharing esoteric/spiritual content — hybrid identity with no confirmed employer or journalism platform.,"Journalist with Social Communication degree who teaches journalism and spirituality workshops, sharing esotericism discussing rituals and tarot readings.",Content has pivoted significantly to spirituality/esoteric. TIER B — edge case.,C,Bio confirms content has pivoted to esoteric/spiritual workshops including tarot and rituals; journalism is no longer primary content; meets downgrade criterion for content pivot away from journalism.,,
7,Latin America,Abigail Luna,Argentina,https://www.tiktok.com/@abigailluna__,UNVERIFIED,,TikTok-only,iProfesional (contributor),Spanish,B,Has iProfesional experience but unclear if staff or freelance — translates policy/economics to TikTok.,"Politics and economics specialist with iProfesional experience who translates topics into brief, engaging, and easy-to-understand videos.",Contributor to institutional outlet. TikTok presence is own. TIER B.,B-final,Contributor status at iProfesional unconfirmed as staff or freelance; no own newsletter or YouTube found.,,Is Abigail Luna currently staff at iProfesional or freelance? Does she have her own newsletter or YouTube channel?
13,Latin America,Gizel Mobayed,Venezuela,https://www.tiktok.com/@gizelmobayed,UNVERIFIED,,Podcast,Unknown (TV presenter),Spanish,B,Television presenter with own podcast (Todo está escrito) — has independent audio platform alongside institutional TV work.,"Television presenter with over a decade's experience who shares humorous content, personal reflections, and trending topics plus interviews through podcast Todo está escrito.",Has podcast. But primary framing as TV presenter + podcast content appears non-journalistic. TIER B.,B-final,"Podcast 'Todo está escrito' confirmed on YouTube; podcast content is personal life philosophy ('Is everything written?') not journalism-primary; the ADN Venezuela project is a separate journalistic endeavor but no confirmed independent platform. Podcast has since ended ('Se despide Todo Está Escrito').","","Is Gizel Mobayed's ADN Venezuela project an independent journalism platform, or part of an institutional outlet? Is there an active independent publishing home?"
14,Latin America,Eugenio Albrecht,Argentina,https://www.tiktok.com/@eugenio.com.ar,UNVERIFIED,,TikTok-only,IERP (Evangelical Church communicator),Spanish,B,Ordained pastor serving as WCC communicator — journalism is secondary to religious communication. Has radio space but not independent journalism operation.,"Journalist and audiovisual producer sharing content combining political analysis, historical insight, and faith-informed perspectives.",LinkedIn shows IERP (Evangelical denomination) role. Radio space exists but institutional-religious rather than independent journalism.,B-final,Primary role confirmed as IERP (Evangelical denomination) communicator/pastor; journalism is secondary to religious communication role.,,Has Eugenio Albrecht separated from IERP to operate as an independent journalist? Does he have a journalism-specific platform?
15,Latin America,Dani Pequeño,Chile,https://www.tiktok.com/@daniipequeno,UNVERIFIED,,Podcast,Unknown,Spanish,B,Has podcast (Tranquilo Daniel) on mental health — podcast platform exists but content is mental health/personal growth not news journalism.,"Chilean content creator with distinctive style that blends humour, reflection, and cultural insight hosting podcast Tranquilo Daniel exploring mental health and personal growth.",Podcast confirmed. Not journalism-primary — mental health/lifestyle focus. TIER B.,B-final,Podcast 'Tranquilo Daniel' confirmed; content is mental health/personal growth — not journalism-primary; meets neither the journalism-content nor the independent-publisher criteria for upgrade.,,Does Dani Pequeño produce any journalism or current affairs content beyond the mental health podcast?
