gsd_rank,region,name,country,tiktok_url,tiktok_followers,primary_url,platform_type,institutional_employer,content_language,atlas_tier,tier_rationale,gsd_bio_excerpt,notes
16,Africa,Hausa Guy,Nigeria,https://www.tiktok.com/@hausa_guy,UNVERIFIED,,TikTok-only,Unknown,Hausa/English,B,Own brand identity with independent-sounding bio but no confirmed newsletter/podcast/website found.,"Multimedia journalist based in Abuja telling stories in Hausa and English, spotlighting social justice and cultural identity issues.",No search return on independent platform. TikTok-only brand.
17,Africa,Mohamed El Amine Diop,Senegal,https://www.tiktok.com/@mohamed_diop_journaliste,UNVERIFIED,,TikTok-only,"Wiwsport, iGFM",French/Wolof,C,Confirmed staff sports journalist at Wiwsport and iGFM — both established Senegalese institutional outlets.,"Sports journalist covering football and mixed martial arts for Wiwsport and iGFM, providing analysis on major sporting events.",Two institutional employers confirmed.
18,Africa,Kojo Kinn,Ghana,https://www.tiktok.com/@kojokinn_,UNVERIFIED,,TikTok-only,Modern Ghana (freelance contributor),English,B,Freelance contributor to Modern Ghana with personal music projects — neither fully independent nor staff.,"Entertainment journalist writing for Modern Ghana on music, culture, and arts, while pursuing personal musical projects.",Freelance contributor status = TIER B. Not staff but also no own publishing home confirmed.
19,Africa,Fifame Salome Attadedji,Benin,https://www.tiktok.com/@journaliste_et_mc,UNVERIFIED,,TikTok-only,Unknown (television journalist),French,C,Described explicitly as television journalist — institutional affiliation likely but outlet not named in bio.,"Bilingual television journalist and live MC combining broadcasting, performance, and fashion with focus on mindset and cultural trends.",Employer not named — TIER C on basis of institutional TV role. Outlet unknown.
20,Africa,Nsoatreman TV,Ghana,https://www.tiktok.com/@nsoatremantv1,UNVERIFIED,,TikTok-only,Unknown,English,B,Blends journalism with philanthropy and music promotion — brand name suggests own channel but no confirmed publishing home.,"Ghanaian media figure blending journalism with philanthropy and music promotion across broadcast and digital platforms.",Brand name implies own outlet but unclear if journalism-primary. TIER B.
21,Africa,Kwame Dela da Fishbone,Ghana,https://www.tiktok.com/@kwamedelafishbone,UNVERIFIED,,TikTok-only,Wontumi Radio/TV,English,C,Bio explicitly places him at Wontumi Radio/TV — Ghanaian institutional broadcaster.,"Sports journalist providing sharp commentary on Ghanaian football, previously at Angel FM, now with Wontumi Radio/TV.",Current employer Wontumi Radio/TV confirmed. Clear TIER C.
22,Africa,Oratile Kekana,South Africa,https://www.tiktok.com/@oratile_kekana1,UNVERIFIED,,TikTok-only,Capricorn FM,English,C,Confirmed newsreader at Capricorn FM — institutional South African community radio broadcaster.,"Newsreader at Capricorn FM anchoring weekend segments, previously at Zebediela FM and TUT FM, covering health and governance topics.",Institutional newsreader. Clear TIER C.
23,Africa,Christian Chez Vous,Republic of the Congo,https://www.tiktok.com/@christianlawu,UNVERIFIED,,TikTok-only,Unknown,French,B,Covers political affairs and conflict with own brand but no employer or independent publishing home confirmed.,"Congolese journalist exploring political affairs and conflict, building platforms for civic discourse and spotlighting underreported stories.",Independent-sounding mission but employer unconfirmed. No newsletter/podcast found. TIER B.
24,Africa,Frank Mavura,Tanzania,https://www.tiktok.com/@frankmavura,UNVERIFIED,,TikTok-only,BBC News Swahili,Swahili,C,Confirmed BBC News Swahili staff — flagship example of institutional journalist with TikTok side channel.,"Multimedia journalist at BBC News Swahili, mental health advocate, and voice-over artist producing content for East African audiences.",BBC staff. Clear TIER C.
25,Africa,Monte Oz,Ghana,https://www.tiktok.com/@monteozafrica,UNVERIFIED,https://monteoz.com,Website,Independent (freelance),English,A,Freelance journalist with own website (monteoz.com) and YouTube channel; confirmed not staff at any outlet; 91-country travel journalist operating under own brand from Finland.,"International journalist and travel storyteller documenting cultures across 91 countries, sharing immersive narratives highlighting connections between global experiences and local stories.",Muck Rack lists him as freelance journalist for Modern Ghana/Nigeria Abroad. Has personal website and YouTube. TIER A.
26,Africa,Yaya Muhammad,Nigeria,https://www.tiktok.com/@yaya_muhammad,UNVERIFIED,,TikTok-only,Unknown (radio station manager),English/Hausa,C,Described as station manager — institutional media management role even if outlet name not given.,"Multimedia journalist and station manager integrating storytelling with strategic communication.",Station manager = institutional leadership role. TIER C.
27,Africa,Bassant El Miniawy,Egypt,https://www.tiktok.com/@bassant.elminiawy,UNVERIFIED,,TikTok-only,Cairo 24,Arabic,C,Confirmed journalist and anchor at Cairo 24 — Egyptian institutional digital TV news outlet.,"Journalist and anchor at Cairo 24 presenting current affairs programming.",Institutional anchor. Clear TIER C.
28,Africa,All Star Blog,Ghana,https://www.tiktok.com/@allstarblogg,UNVERIFIED,,TikTok-only,Unknown,English,B,FIFA and CAF accredited sports journalist with own brand name but no confirmed independent website/newsletter.,"Accredited sports journalist with FIFA and CAF credentials.",Own brand but no publishing home confirmed beyond social. TIER B.
29,Africa,Hassannoor Ciyaarjaceyl,Kenya,https://www.tiktok.com/@hassannoorciyaarjaceyl,UNVERIFIED,,TikTok-only,Unknown,Somali/English,B,Provides real-time reporting and political commentary — no confirmed employer or independent platform.,"Journalist providing real-time reporting and political commentary.",Insufficient information. UNVERIFIED employer and platform.
30,Africa,Sports Doctor,Ghana,https://www.tiktok.com/@sportsdoctorgh,UNVERIFIED,,TikTok-only,Unknown (radio),English,C,Described as co-hosting a radio segment — institutional radio role even if outlet unnamed.,"Sports journalist co-hosting radio segment on local sports.",Radio co-host = institutional. TIER C.
31,Africa,Donald Prince Kouassi,Benin,https://www.tiktok.com/@donaldprincekpanou,UNVERIFIED,,TikTok-only,Unknown,French,B,Religious journalist covering community stories — no employer or independent platform confirmed.,"Religious journalist covering faith-based community stories.",No employer or platform data. TIER B.
32,Africa,El Solo TV,Benin,https://www.tiktok.com/@1.elsolotv,UNVERIFIED,,TikTok-only,Unknown,French,B,Creator brand blending comedy/poetry/commentary — entertainment-leaning; no confirmed journalism employer or independent outlet.,"Multi-talented creator blending comedy, poetry and journalistic commentary.",Content blend tilts toward entertainment. TIER B.
33,Africa,Habiba Amdala,Ethiopia,https://www.tiktok.com/@habibaamdala,UNVERIFIED,,TikTok-only,Unknown (TV),Amharic,C,Identified as TV anchor presenting news and current affairs — institutional even though specific outlet not named.,"TV anchor presenting news and current affairs content.",Institutional TV anchor. TIER C.
34,Africa,Xaaji Mideeye,Somalia,https://www.tiktok.com/@xaajimideeye2,UNVERIFIED,,TikTok-only,Independent (self-described),Somali,B,Self-described independent journalist but no confirmed publishing platform beyond TikTok/social media found.,"Independent journalist publishing breaking news and real-time reporting.",Bio says independent — no research confirms newsletter/podcast/website. TikTok-only defaults to TIER B.
35,Africa,Ahmed Hamouda,Egypt,https://www.tiktok.com/@ahmedhamoouda,UNVERIFIED,,TikTok-only,Unknown (sports TV),Arabic,C,Sports presenter delivering analysis and match commentary — institutional presenter role even if outlet unnamed.,"Sports presenter delivering analysis and match commentary.",Institutional presenter. TIER C.
36,Africa,Jean-Baptiste Kabeya,Democratic Republic of the Congo,https://www.tiktok.com/@wayako4,UNVERIFIED,,TikTok-only,"Community radio, online outlets",French,B,Works with community radio and online outlets — possible independent operation but no confirmed standalone platform.,"Political journalist reporting for community radio and online outlets.",Could be community-independent. TIER B — needs further research.
37,Africa,Germain Muloko,Democratic Republic of the Congo,https://www.tiktok.com/@germainmuloko1,UNVERIFIED,,TikTok-only,Unknown,French,B,Described as journalist and media director — institutional role likely but outlet not confirmed.,"Journalist and media director overseeing journalistic content.",Insufficient info. TIER B.
38,Africa,Fagende Abdi,Somalia,https://www.tiktok.com/@fagende5,UNVERIFIED,,TikTok-only,Unknown (broadcast),Somali,C,Described as directing regional news broadcasts — institutional broadcast director role.,Journalist directing regional news broadcasts across multiple formats.,Broadcast director = institutional. TIER C.
39,Africa,Elimane Cissé,Senegal,https://www.tiktok.com/@elimane_cisse,UNVERIFIED,,YouTube,Unknown,French/Wolof,B,Sports journalist with own YouTube channel — has secondary platform but no confirmed independent editorial home.,"Sports journalist and YouTuber streaming football and martial arts.",YouTube presence is a positive signal but not sufficient alone for TIER A.
40,Africa,Munakabanga,Uganda,https://www.tiktok.com/@munakabangaofficial,UNVERIFIED,,TikTok-only,Unknown,English,B,Sports commentator with no confirmed employer or independent platform.,"Sports commentator combining live analysis with in-depth coverage.",Insufficient information. TIER B.
41,Africa,Danladi Rock,Ghana,https://www.tiktok.com/@danladirock,UNVERIFIED,,TikTok-only,Unknown,English,B,Musician and journalist — hybrid identity with no confirmed primary journalism employer or independent outlet.,"Musician and journalist weaving social commentary into musical content.",Music-journalism hybrid. Unclear independence.
42,Africa,Mbaye Anta,Senegal,https://www.tiktok.com/@chronique_de_mbaye,UNVERIFIED,,TikTok-only,Unknown,French/Wolof,B,Sports journalist specializing in football — no employer or independent platform confirmed.,"Sports journalist specializing in football coverage and local talent.",Insufficient info. TIER B.
43,Africa,Presenter Athman,Kenya,https://www.tiktok.com/@presenter_athman,UNVERIFIED,,TikTok-only,Unknown (radio),English/Swahili,B,Blends radio and sports commentary — radio role suggests institutional but outlet unnamed.,"Journalist blending radio, sports commentary and lifestyle storytelling.",Radio role = likely institutional. TIER B pending outlet confirmation.
44,Africa,Seydou Nourou,Senegal,https://www.tiktok.com/@seydou_nourou_officiel,UNVERIFIED,,TikTok-only,Unknown (TV),French/Wolof,C,Identified as TV presenter and journalist — institutional even without outlet named.,"TV presenter and journalist sharing media, culture and faith content.",Institutional TV presenter. TIER C.
45,Africa,Roger Elgon,Uganda,https://www.tiktok.com/@biigrogerelgon,UNVERIFIED,,TikTok-only,Unknown (radio station),English,C,Radio station manager — institutional management role.,"Radio station manager covering culture, entertainment, and local governance.",Institutional station manager. TIER C.
46,Africa,Kissibo Hawali Baggett,Uganda,https://www.tiktok.com/@khbuganda,UNVERIFIED,https://www.youtube.com/channel/UCD_xW7t6GY0v8RaXgq9Hx3A,YouTube,Independent,English,A,"Independent investigative journalist with own YouTube channel (KHB UGANDA), covers fraud, street crimes, and local governance in Busoga region with no confirmed institutional employer.","Investigative journalist conducting grassroots investigations on local governance.",YouTube channel confirmed. No institutional employer found. Operates under own name/brand. TIER A.
47,Africa,Mohamed Ally (Magical Moha),Kenya,https://www.tiktok.com/@magicalmoha,302600,https://www.facebook.com/magicalmoha/,TikTok-only,Independent (self-described),English/Swahili,B,Self-described independent investigative journalist with 302K+ TikTok followers — no independent publishing platform confirmed beyond social media.,"Investigative journalist using direct style to highlight political and justice issues.",Active on TikTok/Facebook/YouTube. Strong follower count but no newsletter/podcast/website as primary home. TIER B.
48,Africa,Dokteur Mouaz,Cameroon,https://www.tiktok.com/@dokteur_mouaz,UNVERIFIED,,TikTok-only,Unknown,French,B,Journalist and IT entrepreneur combining news with tech — no confirmed employer or independent publishing home.,"Journalist and IT entrepreneur combining news updates with tech insights.",Dual identity. Insufficient info for tier upgrade.
49,Africa,Alex Charming,Ghana,https://www.tiktok.com/@alexcharmingdotcomm,UNVERIFIED,,TikTok-only,Unknown,English,B,Blogger/journalist/lab tech — multimedia but no confirmed independent journalism platform or employer.,"Blogger, journalist, and lab tech creating informative multimedia content.",Triple-identity creator. TIER B.
50,Africa,Feleke Demissie,Ethiopia,https://www.tiktok.com/@felekedemissieoffical,UNVERIFIED,,TikTok-only,Unknown,Amharic,B,Sports journalist with no confirmed employer or independent platform.,"Sports journalist sharing news, reviews, and analysis with engaging storytelling.",Insufficient info. TIER B.
51,Africa,Hodmanshow,Kenya,https://www.tiktok.com/@hodmanshow,UNVERIFIED,,TikTok-only,Unknown,Somali/English,B,Has blog/interview format but no confirmed independent publishing home with editorial separation from social media.,"Somali journalist (Hodman Cadceed Gelle) sharing news through interviews and blogs with relatable, accessible style.",Blog presence is positive signal. TIER B.
52,Africa,Nana Boadu Obuobi,Ghana,https://www.tiktok.com/@nanaboaduobuobi,UNVERIFIED,https://www.youtube.com/c/BoaduTV,YouTube,Angel FM (primary),English,B,Staff at Angel FM (institutional) but also runs own Boadu TV YouTube channel — dual affiliation keeps this at TIER B.,"Award-winning broadcast journalist, blogger, and media consultant producing content through Boadu TV YouTube channel.",Has independent YouTube brand (Boadu TV) alongside institutional role at Angel FM. TIER B.
53,Africa,Gina Show,Ghana,https://www.tiktok.com/@gina1show,UNVERIFIED,,TikTok-only,Unknown,English,B,Journalist creating TikTok content — own brand but no publishing home beyond social media confirmed.,"Ghanaian journalist creating TikTok content presenting relevant news with clear, accessible narrative explanations.",TikTok-only defaults to TIER B.
54,Africa,Kaosara Omo Yoruba,Nigeria,https://www.tiktok.com/@kaosaraomoyoruba,UNVERIFIED,,TikTok-only,Independent (freelance),English,B,Self-described freelance journalist and social media manager — freelance status is positive but no independent publishing home confirmed.,"Social media manager, freelance journalist, and content creator producing diverse content covering news, lifestyle, and insights.",Freelance but TikTok-only platform. TIER B.
55,Africa,Diketso Maja,South Africa,https://www.tiktok.com/@diketsomaja,UNVERIFIED,,TikTok-only,Unknown,English,B,Content creator/journalist/actor/MC hybrid — no confirmed primary journalism employer or independent outlet.,"South African content creator, journalist, actor, and MC blending informative reporting with entertainment through storytelling.",Hybrid entertainer-journalist identity. TIER B.
56,Africa,Denis Duke,Uganda,https://www.tiktok.com/@denisdukeug,UNVERIFIED,,YouTube,Unknown,English,B,Journalist and YouTuber combining professional journalism with farming content — has YouTube but employer unclear.,"Ugandan journalist, farmer, and YouTuber combining professional journalism with personal reflections on farming and life.",YouTube is a positive signal. No institutional employer confirmed. TIER B.
57,Africa,Daniel Gebreegziabher,Ethiopia,https://www.tiktok.com/@danigebre1,UNVERIFIED,,TikTok-only,Unknown,Amharic,B,Broadcast journalist and influencer — employer unclear but the broadcast descriptor suggests institutional affiliation.,"Broadcast journalist and award-winning influencer delivering daily updates with dynamic storytelling across multiple platforms.",Broadcast journalist = likely institutional. TIER B.
58,Africa,Sylvester Choloplay,Liberia,https://www.tiktok.com/@amb..sylvester.ch,UNVERIFIED,,TikTok-only,Spoon Network,English,C,Identified as journalist at Spoon Network — institutional Liberian broadcaster — alongside NGO CEO role.,"Award-winning journalist at Spoon Network and CEO of Rescue Youth Alliance covering news and youth-focused initiatives.",Spoon Network is institutional. NGO role is separate. TIER C.
59,Africa,Emerson Ngoma,Democratic Republic of the Congo,https://www.tiktok.com/@emersonngoma,UNVERIFIED,,TikTok-only,Unknown,French,B,Journalist and content creator — entirely vague with no confirmed platform or employer.,"Journalist and content creator sharing informative news updates, analysis, and journalistic content across platforms.",Insufficient info. UNVERIFIED.
60,Africa,Sultana Khalifa,Mauritania,https://www.tiktok.com/@sultanakhalif,UNVERIFIED,,TikTok-only,"24 Sahara (صحراء 24)",Arabic,C,Confirmed working with institutional outlet 24 Sahara — Mauritanian/Libyan TV news channel.,"Mauritanian and Libyan journalist, TV presenter, and voice-over artist working with 24 صحراء producing news content.",Institutional TV affiliation confirmed. TIER C.
61,Africa,Mideli W'Abanyarwanda,Rwanda,https://www.tiktok.com/@mideli_rwanda,UNVERIFIED,https://www.youtube.com/@midelirwand,YouTube,Unknown,Kinyarwanda,B,Entertainment journalist with YouTube channel — operates under own brand but no confirmed editorial independence from institutional affiliation.,"Prominent Rwandan journalist and content creator recognized as The Hottest Personal Journalist 2025 for engaging storytelling.",YouTube + TikTok presence; primarily entertainment content. TIER B.
62,Africa,Hafid Nor Barre,Somalia,https://www.tiktok.com/@hafidnorbarre,UNVERIFIED,,TikTok-only,Unknown,Somali,B,Senior mobile journalist in Mogadishu — employer unclear but seniority suggests institutional affiliation.,"Senior mobile journalist in Mogadishu using mobile devices for on-the-ground reporting despite safety challenges.",Seniority implies employer. TIER B.
63,Africa,Derick Lunkeba,Democratic Republic of the Congo,https://www.tiktok.com/@dericklunkeba,UNVERIFIED,,TikTok-only,Unknown,French,B,Manages Congo Mon Pays Facebook page — own brand but unclear if primary journalism operation.,"DRC journalist managing Congo Mon Pays Facebook page, engaging with political and social topics online.",Facebook page brand. TIER B.
64,Africa,Sokoban Fatilow,Ghana,https://www.tiktok.com/@sokobanfatilow,UNVERIFIED,,TikTok-only,Nhyira FM (Multimedia Group),English,C,Confirmed at Nhyira FM — part of Ghana's Multimedia Group (major institutional broadcaster).,"Ghanaian football journalist at Multimedia's Nhyira FM delivering dynamic sport coverage with analysis and fan engagement.",Multimedia Group is institutional. Clear TIER C.
65,Africa,Hon Guruh Buvati,Kenya,https://www.tiktok.com/@honguruh,UNVERIFIED,,TikTok-only,Unknown,English/Swahili,B,Journalist/photographer/computer expert — multi-skilled but no confirmed employer or independent outlet.,"Kenyan journalist, photographer, and computer expert sharing photography, journalistic updates, and professional commentary.",Insufficient info. TIER B.
66,Africa,Champion Nani,Ghana,https://www.tiktok.com/@championnani1,UNVERIFIED,,TikTok-only,Angel 96.1 FM,English,C,Confirmed at Angel 96.1 FM — part of established Ghanaian broadcaster. Institutional.,"Sports journalist at Angel 96.1 FM providing football commentary, critiques, and match analysis on TikTok.",Institutional. Clear TIER C.
67,Africa,Rasha Nasr,Egypt,https://www.tiktok.com/@rashanasr151912,UNVERIFIED,,TikTok-only,Unknown (TV),Arabic,C,TV presenter and journalist — institutional even without named outlet.,"TV presenter and journalist sharing broadcasting work and media insights with audiences.",Institutional TV presenter. TIER C.
68,Africa,Said Toubal,Algeria,https://www.tiktok.com/@saidtoubal,UNVERIFIED,,TikTok-only,ENTV,Arabic/French,C,Confirmed journalist and news anchor at ENTV — Algerian national state television. Institutional.,"Journalist, news anchor, and media trainer at ENTV producing informative content while coaching others in public speaking.",ENTV is Algerian state TV. Clear TIER C.
69,Africa,Jamie Radio,Uganda,https://www.tiktok.com/@jamieradiouganda,UNVERIFIED,,TikTok-only,Unknown,English,B,Investigative journalist (Katumba Jamil) with own brand — independent-sounding but no newsletter/podcast/website confirmed.,"Investigative journalist (Katumba Jamil) blending serious reporting with comedy for engaging, relatable news updates.",Own brand identity with investigative focus. TIER B — could upgrade if independent platform confirmed.
70,Africa,Calister O. Enejele,Nigeria,https://www.tiktok.com/@iamcali_e,UNVERIFIED,,TikTok-only,Unknown,English,B,FIFA and CAF accredited sports journalist — professional credentials confirmed but employer and platform unknown.,"FIFA and CAF-accredited international sports journalist covering football with global perspective through news and interviews.",Credentials confirmed; independence status unclear. TIER B.
71,Africa,Mohamed Gaci,Algeria,https://www.tiktok.com/@mohamed_gaci,UNVERIFIED,,TikTok-only,Unknown (TV),Arabic/French,C,TV presenter — institutional even without outlet named.,"Journalist, TV presenter, and digital marketing expert sharing travel insights, news updates, and current issue analysis.",TV presenter = institutional. TIER C.
72,Africa,Isma'eel Abba Tangalashi,Nigeria,https://www.tiktok.com/@tangasport360,UNVERIFIED,,TikTok-only,Unknown,English/Hausa,B,Award-winning sports journalist — no confirmed employer or independent platform found.,"Award-winning Nigerian sports journalist and football commentator covering local and international football across multiple platforms.",Insufficient info to confirm independence. TIER B.
73,Africa,Maged Gazr,Egypt,https://www.tiktok.com/@magedgazr1,UNVERIFIED,,TikTok-only,Unknown,Arabic,B,Sports journalist combining traditional reporting with social media — no confirmed employer or platform.,"Egyptian sports journalist combining traditional reporting with social media reach, breaking down football and athletic events.",Insufficient info. TIER B.
74,Africa,Aderonke Adesola,Nigeria,https://www.tiktok.com/@olorisport,UNVERIFIED,,TikTok-only,Splash FM,Yoruba/English,C,Confirmed sports broadcaster on Splash FM — institutional Yoruba-language radio broadcaster.,"Nigerian sports broadcaster on Splash FM providing football commentary in Yoruba with sharp analysis.",Splash FM is institutional. Clear TIER C.
75,Africa,John Fuamba,Democratic Republic of the Congo,https://www.tiktok.com/@johnfuambacom1,UNVERIFIED,,YouTube,Unknown,French,B,Journalist with TikTok and YouTube — has secondary platform but no confirmed employer or independent editorial operation.,"Congolese journalist delivering news and commentary on politics and society through accessible short videos on TikTok and YouTube.",YouTube presence is a positive signal. TIER B.
1,Latin America,Manuel Pedrero,Mexico,https://www.tiktok.com/@manuelpedrerooficial,592000,https://www.youtube.com/channel/UCH4M_4Ed6SUidQthmZ60M2g,YouTube,Los Reporteros MX (network director),Spanish,B,"Hosts own ""Sin Máscaras"" YouTube news show (Mon-Fri 4PM) and serves as networks director for Los Reporteros MX — independent in format but unclear funding/editorial control; noted as pro-government aligned.",At 22 described as one of the most influential young voices in independent journalism who successfully connected with new generations.,592K TikTok followers. YouTube show exists but pro-government alignment and affiliation with Los Reporteros MX create independence questions. Needs Ryan review.
2,Latin America,Jorge Armando Rocha,Mexico,https://www.tiktok.com/@jorgearmandorocha_,UNVERIFIED,,TikTok-only,Canal Once,Spanish,C,Host of Evening News on Canal Once — Mexican public institutional broadcaster.,"Political analyst and Evening News host on Canal Once consolidating himself as critical voice in political analysis.",Canal Once is Mexico's institutional public TV channel. Clear TIER C.
3,Latin America,Macarena Jimena Rodríguez,Argentina,https://www.tiktok.com/@macarena.jimena,UNVERIFIED,,TikTok-only,Argentine Presidency (government),Spanish,C,Appointed by Argentine government as Coordinator of Digital Content Assets in the Presidency — produces content supporting Milei. Government communicator.,"Journalist and social psychologist appointed February 2025 as Coordinator of Digital Content Assets within Argentine Presidency.",Government appointment makes her institutional/political. Clear TIER C.
4,Latin America,Jesús Escobar Tovar,Mexico,https://www.tiktok.com/@jet1403,UNVERIFIED,,TikTok-only,Grupo Radio Centro,Spanish,C,Director at Grupo Radio Centro — major Mexican institutional radio conglomerate.,"Journalist and Grupo Radio Centro director who combines in-depth analysis with a friendly tone without losing the seriousness.",Grupo Radio Centro is institutional. Clear TIER C.
5,Latin America,Adrián Ackerman,Argentina,https://www.tiktok.com/@factosconadrian.ok,UNVERIFIED,https://factosconadrian.com,Website,Independent,Spanish,B,Runs own website Factosconadrian.com and YouTube — operates independently but content is partisan political commentary rather than journalism.,"Argentine content creator noted for political and social opinion videos seeking to open debates on national political issues.",Has own website. Content is political advocacy/commentary in defense of libertarian ideas — not traditional journalism. TIER B.
6,Latin America,Marcela Marvel,Brazil,https://www.tiktok.com/@marcelamarveloficial,UNVERIFIED,,TikTok-only,Unknown,Portuguese,B,Journalist teaching journalism workshops and sharing esoteric/spiritual content — hybrid identity with no confirmed employer or journalism platform.,"Journalist with Social Communication degree who teaches journalism and spirituality workshops, sharing esotericism discussing rituals and tarot readings.",Content has pivoted significantly to spirituality/esoteric. TIER B — edge case.
