name,channel,link,rss_url,platform,confidence,topic,geography,group,notes
"Craig Silverman","Indicator","https://indicator.media","https://indicator.media/feed","Newsletter - Beehiiv","HIGH","Tech","Canada","Money & Work","Beehiiv /feed"
"Emily Atkin","Heated","https://heated.world","https://heated.world/feed","Newsletter - Substack","HIGH","Climate/Environment","International","Science, Health & Environment","Substack /feed"
"Emily Sundberg","Feed Me","https://www.readfeedme.com","https://www.readfeedme.com/feed","Newsletter - Substack","HIGH","Culture","New York, NY","Culture & Media","Substack /feed"
"Eric Newcomer","Newcomer","https://www.newcomer.co","https://www.newcomer.co/feed","Newsletter - Substack","HIGH","Tech","New York, NY","Money & Work","Substack /feed"
"Erin Reed","Erin In the Morning","https://www.erininthemorning.com","https://www.erininthemorning.com/feed","Newsletter - Substack","HIGH","LGBTQIA","National - US","Social Issues","Substack /feed"
"Hunter Harris","Hung Up","https://hunterharris.substack.com","https://hunterharris.substack.com/feed","Newsletter - Substack","HIGH","Entertainment/Hollywood","New York, NY","Culture & Media","Substack /feed"
"Isaac Saul","Tangle News","https://www.readtangle.com","https://www.readtangle.com/rss","Newsletter - Ghost","HIGH","Politics","Philadelphia, PA","Power & Politics","Ghost /rss"
"Jessica Valenti","Abortion Every Day","https://jessica.substack.com","https://jessica.substack.com/feed","Newsletter - Substack","HIGH","Government Accountability","New York, NY","Power & Politics","Substack /feed"
"Johnny Harris","Johnny Harris","https://www.youtube.com/johnnyharris","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Explanatory","International","Journalism Formats","fetch https://www.youtube.com/johnnyharris extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Joss Fong","Howtown","https://www.youtube.com/@Howtown","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Explanatory","National - US","Journalism Formats","fetch https://www.youtube.com/@Howtown extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Judd Legum","Popular Info","https://popular.info","https://popular.info/feed","Newsletter - Substack","HIGH","Government Accountability","National - US","Power & Politics","Substack /feed"
"Katelyn Jetelina","Your Local Epidemiologist","https://yourlocalepidemiologist.substack.com","https://yourlocalepidemiologist.substack.com/feed","Newsletter - Substack","HIGH","Health/Wellness","National - US","Science, Health & Environment","Substack /feed"
"Kyle Tharp","Chaotic Era","https://www.chaoticera.news","https://www.chaoticera.news/feed","Newsletter - Beehiiv","HIGH","Government Accountability","National - US","Power & Politics","Beehiiv /feed"
"Marisa Kabas","The Handbasket","https://www.thehandbasket.co","https://www.thehandbasket.co/feed","Newsletter - Beehiiv","HIGH","Government Accountability","National - US","Power & Politics","Beehiiv /feed"
"Marques Brownlee","MKBHD","https://www.youtube.com/user/marquesbrownlee","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Tech","New York, NY","Money & Work","fetch https://www.youtube.com/user/marquesbrownlee extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Matt Brown","Extra Points","https://www.extrapointsmb.com","https://www.extrapointsmb.com/feed","Newsletter - Beehiiv","HIGH","Sports","Chicago, IL","Lifestyle & Personal Life","Beehiiv /feed"
"Max Read","Read Max","https://maxread.substack.com","https://maxread.substack.com/feed","Newsletter - Substack","HIGH","Internet Culture","New York, NY","Culture & Media","Substack /feed"
"Nathan Tankus","Notes on the Crisis","https://www.crisesnotes.com","https://www.crisesnotes.com/rss","Newsletter - Ghost","HIGH","Government Accountability","New York, NY","Power & Politics","Ghost /rss"
"Oliver Darcy","Status","https://www.status.news","https://www.status.news/feed","Newsletter - Beehiiv","HIGH","Media/Power","National - US","Culture & Media","Beehiiv /feed"
"Parker Molloy","The Present Age","https://www.readtpa.com","https://www.readtpa.com/feed","Newsletter - Substack","HIGH","Internet Culture","Chicago, IL","Culture & Media","Substack /feed"
"Phil Edwards","Phil Edwards","https://www.youtube.com/@PhilEdwardsInc","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Explanatory","National - US","Journalism Formats","fetch https://www.youtube.com/@PhilEdwardsInc extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Ryan Broderick","Garbage Day","https://www.garbageday.email","https://www.garbageday.email/feed","Newsletter - Beehiiv","HIGH","Internet Culture","National - US","Culture & Media","Beehiiv /feed"
"Sam Ellis","Search Party","https://www.youtube.com/@SearchParty","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Explanatory","New York, NY","Journalism Formats","fetch https://www.youtube.com/@SearchParty extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Taylor Lorenz","UserMag","https://www.usermag.co","https://www.usermag.co/feed","Newsletter - Substack","HIGH","Internet Culture","National - US","Culture & Media","Substack /feed"
"Tim Mak","The Counteroffensive","https://www.counteroffensive.news","https://www.counteroffensive.news/feed","Newsletter - Substack","HIGH","World","Ukraine","General News","Substack /feed"
"Aaron Carroll","Healthcare Triage","https://www.youtube.com/@healthcaretriage","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Health/Wellness, Science","Indiana - US","Science, Health & Environment","fetch https://www.youtube.com/@healthcaretriage extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Aaron Rupar","Public Notice","https://www.publicnotice.co","https://www.publicnotice.co/feed","Newsletter - Substack","HIGH","Politics","Washington, D.C.","Power & Politics","Substack /feed"
"Abby Martin","Empire Files","https://www.youtube.com/empirefiles","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Investigative, Politics, World","National - US","Journalism Formats, Power & Politics, General News","fetch https://www.youtube.com/empirefiles extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Adam Johnson","Citations Needed","https://podcasts.apple.com/us/podcast/citations-needed/id1258545975","NEEDS_LOOKUP","Podcast","PENDING","Media/Power, Politics","National - US","Culture & Media, Power & Politics","Check Listen Notes for feed URL"
"Adam Klasfeld","All Rise News","https://allrisenews.com","https://allrisenews.com/feed","Newsletter - Substack","HIGH","Law/Legal Issues","New York, NY","Power & Politics","Substack /feed"
"Adam Kucharski","Understanding the Unseen","https://kucharski.substack.com","https://kucharski.substack.com/feed","Newsletter - Substack","HIGH","Health/Wellness, Science","United Kingdom","Science, Health & Environment","Substack /feed"
"Adam Mastroianni","Experimental History","https://www.experimental-history.com","https://www.experimental-history.com/feed","Newsletter - Substack","HIGH","Science","Ohio - US","Science, Health & Environment","Substack /feed"
"Adam Mockler","Adam Mockler","https://www.youtube.com/@adammockler","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Politics","Chicago, IL","Power & Politics","fetch https://www.youtube.com/@adammockler extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Adam Schrader","Urgent Matter","https://www.urgentmatter.press","https://www.urgentmatter.press/rss","Newsletter - Ghost","HIGH","Art, Culture, Museums","New York, NY","Culture & Media","Ghost /rss"
"Adam Tooze","Chartbook","https://adamtooze.substack.com","https://adamtooze.substack.com/feed","Newsletter - Substack","HIGH","Finance/Economics, World, Politics","New York, NY","Money & Work, Power & Politics, General News","Substack /feed"
"Adrienne Keene","All My Relations Podcast","https://www.allmyrelationspodcast.com","NEEDS_LOOKUP","Podcast","PENDING","Culture, Identity/Belonging","Seatlle, WA","Culture & Media, Social Issues","Check Listen Notes for feed URL"
"Aella","Knowingless","https://knowingless.com/about","https://knowingless.com/about/feed","Website","MEDIUM","Gender, Dating/Romance","San Francisco, CA","Lifestyle & Personal Life, Social Issues","WordPress likely; custom sites may 404"
"Alastair Campbell","Rest Is Politics","https://www.youtube.com/@restispolitics","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Politics, World","United Kingdom","Power & Politics, General News","fetch https://www.youtube.com/@restispolitics extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Alberto Cairo","Open Visualization Academy","https://openvisualizationacademy.beehiiv.com","https://openvisualizationacademy.beehiiv.com/feed","Website","MEDIUM","Data Visualization","Miami, FL","Journalism Formats","WordPress likely; custom sites may 404"
"Alec Karakatsanis","Copaganda Newsletter","https://equalityalec.substack.com","https://equalityalec.substack.com/feed","Newsletter - Substack","HIGH","Law/Legal Issues","Washington, D.C.","Power & Politics","Substack /feed"
"Alec Watson","Technology Connections","https://www.youtube.com/@TechnologyConnections","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Tech, Science","National - US","Science, Health & Environment, Money & Work","fetch https://www.youtube.com/@TechnologyConnections extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Alessandra Ram","Good Luck Media","https://www.goodluckmedia.co","NEEDS_LOOKUP","Podcast","PENDING","Climate/Environment, Investigative","California - US","Science, Health & Environment, Journalism Formats","Check Listen Notes for feed URL"
"Alex Dobrenko","Both Are True","https://botharetrue.substack.com","https://botharetrue.substack.com/feed","Newsletter - Substack","HIGH","Comedy, Parenting","Asheville, NC","Culture & Media, Lifestyle & Personal Life","Substack /feed"
"Alex Heath","Sources","https://sources.news","https://sources.news/feed","Newsletter - Substack","HIGH","Tech, Internet Culture, Finance/Economics","Los Angeles, CA","Money & Work, Culture & Media","Substack /feed"
"Alex Kantrowitz","Big Technology","https://www.bigtechnology.com","https://www.bigtechnology.com/feed","Newsletter - Substack","HIGH","Tech","New York, NY","Money & Work","Substack /feed"
"Alex Konrad","Upstarts Media","https://www.upstartsmedia.com/about","https://www.upstartsmedia.com/about/feed","Newsletter - Substack","HIGH","Tech","New York, NY","Money & Work","Substack /feed"
"Alex Steffen","The Snap Forward","https://alexsteffen.substack.com","https://alexsteffen.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment","San Francisco, CA","Science, Health & Environment","Substack /feed"
"Alexander C. Kaufman","FIELD NOTES","https://kaufman.substack.com","https://kaufman.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment, Energy","New York, NY","Science, Health & Environment","Substack /feed"
"Alexander Russo","The Grade","https://alexanderrusso.substack.com","https://alexanderrusso.substack.com/feed","Newsletter - Substack","HIGH","Education, Local News, Media/Power","New York, NY","Civic Life, Culture & Media","Substack /feed"
"Alexandra Fasulo","House Of Green","https://houseofgreen.substack.com","https://houseofgreen.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment","New York - US","Science, Health & Environment","Substack /feed"
"Ali Slagle","40 Ingredients Forever","https://alislagle.substack.com","https://alislagle.substack.com/feed","Newsletter - Substack","HIGH","Recipes, Food","National - US","Lifestyle & Personal Life","Substack /feed"
"Alisa Tang","Alisa Daily Dose","https://alisadailydose.beehiiv.com","https://alisadailydose.beehiiv.com/feed","Newsletter - Beehiiv","HIGH","Local News","Washington, D.C.","Civic Life","Beehiiv /feed"
"Alison Roman","a newsletter","https://alisoneroman.substack.com","https://alisoneroman.substack.com/feed","Newsletter - Substack","HIGH","Food, Day in a Life","New York, NY","Journalism Formats, Lifestyle & Personal Life","Substack /feed"
"Alissa Walker","Torched LA","https://www.torched.la","https://www.torched.la/rss","Newsletter - Ghost","HIGH","Local News","Los Angeles, CA","Civic Life","Ghost /rss"
"Allie Jones","Gossip Time","https://www.gossiptime.news","https://www.gossiptime.news/feed","Newsletter - Substack","HIGH","Culture, Entertainment/Hollywood","New York, NY","Culture & Media","Substack /feed"
"Alon Levy","Pedestrian Observations","https://pedestrianobservations.com","https://pedestrianobservations.com/feed","Newsletter - Substack","HIGH","Transit/Transportation","New York, NY","Civic Life","Substack /feed"
"Alyssa Rosenberg","Across the Movie Aisle","https://movieaisle.substack.com","https://movieaisle.substack.com/feed","Newsletter - Substack","HIGH","Film/Movies","Washington, D.C.","Culture & Media","Substack /feed"
"Amanda Montei","Mad Woman","https://amandamontei.substack.com/p/the-housemaid-is-so-bad-but-at-least","https://amandamontei.substack.com/p/the-housemaid-is-so-bad-but-at-least/feed","Newsletter - Substack","HIGH","Gender, Internet Culture, Parenting","California - US","Social Issues, Culture & Media, Lifestyle & Personal Life","Substack /feed"
"Amanda Royal","Earth Hope","https://earthhope.substack.com","https://earthhope.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment, Positive News","San Francisco, CA","Science, Health & Environment, General News","Substack /feed"
"Amanda Shendruk","Not-Ship","https://www.not-ship.com","https://www.not-ship.com/rss","Newsletter - Ghost","HIGH","Explanatory, Data Visualization","United Kingdom","Journalism Formats","Ghost /rss"
"Ambreen Ali","Central Desi","https://centraldesi.beehiiv.com","https://centraldesi.beehiiv.com/feed","Newsletter - Beehiiv","HIGH","Local news, Culture","New Jersey - US","Culture & Media, Civic Life","Beehiiv /feed"
"Amy Westervelt","Drilled","https://drilled.media","NEEDS_LOOKUP","Podcast","PENDING","Climate/Environment, energy","Costa Rica","Science, Health & Environment","Check Listen Notes for feed URL"
"Anders Puck Nielsen","Anders Puck Nielsen","https://www.youtube.com/@anderspuck","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","World, National Security","Denmark","Power & Politics, General News","fetch https://www.youtube.com/@anderspuck extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Andrew Callaghan","Channel 5","https://www.youtube.com/@Channel5YouTube","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Media/Power, Internet Culture","National - US","Culture & Media","fetch https://www.youtube.com/@Channel5YouTube extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Andrew Dessler","The Climate Brink","https://www.theclimatebrink.com","https://www.theclimatebrink.com/feed","Newsletter - Substack","HIGH","Climate/Environment","Texas - US","Science, Health & Environment","Substack /feed"
"Andrew Donlan","Still Gotta Come Through Chicago","https://sgctc.substack.com","https://sgctc.substack.com/feed","Newsletter - Substack","HIGH","Sports, Local","Chicago, IL","Civic Life, Lifestyle & Personal Life","Substack /feed"
"Andrew Free","DetentionKills","https://detentionkills.substack.com","https://detentionkills.substack.com/feed","Newsletter - Substack","HIGH","Immigration","Atlanta, GA","Social Issues","Substack /feed"
"Andrew Gelman","Statistical Modeling","https://statmodeling.substack.com","https://statmodeling.substack.com/feed","Newsletter - Substack","HIGH","Data Visualization, Science","New York, NY","Journalism Formats, Science, Health & Environment","Substack /feed"
"Andrew Gill","Rock That Doesn't Roll","https://pod.link/1703257857","NEEDS_LOOKUP","Podcast","PENDING","History, Music, Faith/Religion, Culture","Chicago, IL","Culture & Media, Social Issues","Check Listen Notes for feed URL"
"Andrew Janjigian","Word Loaf","https://newsletter.wordloaf.org","https://newsletter.wordloaf.org/rss","Newsletter - Ghost","HIGH","Food, Education","Boston, MA","Civic Life, Lifestyle & Personal Life","Ghost /rss"
"Andrew Montalenti","pixelmonkey.org","https://amontalenti.com","https://amontalenti.com/feed","Website","MEDIUM","Tech","Florida - US","Money & Work","WordPress likely; custom sites may 404"
"Andrew Ricketts","Big Black Commentary","https://bigblackcommentary.substack.com","https://bigblackcommentary.substack.com/feed","Newsletter - Substack","HIGH","Culture, Entertainment/Hollywood","New York, NY","Culture & Media","Substack /feed"
"Andrew Sullivan","The Weekly Dish","https://andrewsullivan.substack.com","https://andrewsullivan.substack.com/feed","Newsletter - Substack","HIGH","Politics, Culture","New York, NY","Culture & Media, Power & Politics","Substack /feed"
"Andy DeMeo","Granite Goodness","https://www.granitegoodness.com","https://www.granitegoodness.com/feed","Newsletter - Substack","HIGH","Local News, Positive News","New Hampshire - US","Civic Life, General News","Substack /feed"
"Andy Revkin","Sustain What","https://revkin.substack.com","https://revkin.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment, Science, Media/Power","Maine - US","Science, Health & Environment, Culture & Media","Substack /feed"
"Angus Hervey","Fix The News","fixthenews.com","fixthenews.com/feed","Newsletter - Substack","HIGH","Solutions Journalism, Positive News, World","Australia","General News, Journalism Formats","Substack /feed"
"Anil Dash","Anil Dash","https://anildash.com","https://anildash.com/feed","Website","MEDIUM","Tech","New York, NY","Money & Work","WordPress likely; custom sites may 404"
"Anna Brones","Creative Fuel","https://creativefuel.substack.com","https://creativefuel.substack.com/feed","Newsletter - Substack","HIGH","Art","Seattle, U.S.","Culture & Media","Substack /feed"
"Annie Dance","Cops & Congress by Annie Dance","https://anniedance.substack.com","https://anniedance.substack.com/feed","Newsletter - Substack","HIGH","Local News, Crime, Government Accountability","North Carolina - US","Civic Life, Power & Politics","Substack /feed"
"Annie Koshy","Branding Ninja","https://substack.com/@brandingninja?r=9g26w&utm_medium=ios&utm_source=profile&shareImageVariant=image","https://substack.com/@brandingninja?r=9g26w&utm_medium=ios&utm_source=profile&shareImageVariant=image/feed","Newsletter - Substack","HIGH","World, Politics, Business","Canada","Money & Work, Power & Politics, General News","Substack /feed"
"Anton Sorkin","Cross and Gavel","https://crossandgavel.substack.com","https://crossandgavel.substack.com/feed","Newsletter - Substack","HIGH","Faith/Religion, Law/Legal Issues","Virginia - US","Social Issues, Power & Politics","Substack /feed"
"Antonio Sánchez","NoticiasNW","https://noticiasnw.com","https://noticiasnw.com/feed","Website","MEDIUM","Local news","Portland, OR","Civic Life","WordPress likely; custom sites may 404"
"Anya Kamenetz","The Golden Hour","https://thegoldenhour.substack.com","https://thegoldenhour.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment, Parenting, Mental Health","New York, NY","Science, Health & Environment, Lifestyle & Personal Life","Substack /feed"
"Ari Drennen","Ari's Threads","https://aridrennen.substack.com","https://aridrennen.substack.com/feed","Newsletter - Substack","HIGH","LGBTQIA, Self Help","Washington, D.C.","Social Issues, Lifestyle & Personal Life","Substack /feed"
"Ari Shaprio","Ari Shapiro","https://arishapiro.substack.com","https://arishapiro.substack.com/feed","Newsletter - Substack","HIGH","Media/Power","Washington, D.C.","Culture & Media","Substack /feed"
"Ariella Steinhorn","Hard Reset Media","https://www.hardresetmedia.com","https://www.hardresetmedia.com/feed","Newsletter - Substack","HIGH","Tech, Politics","New York, NY","Power & Politics, Money & Work","Substack /feed"
"Arvind Narayanan","AI as Normal Technology","https://www.normaltech.ai","https://www.normaltech.ai/feed","Newsletter - Substack","HIGH","Tech","New Jersey - US","Money & Work","Substack /feed"
"Ashlee Vance","Core Memory","https://www.corememory.com","https://www.corememory.com/feed","Newsletter - Substack","HIGH","Tech, Investigative","California - US","Journalism Formats, Money & Work","Substack /feed"
"Austin Berg","The Last Ward","https://www.thelastward.org","https://www.thelastward.org/feed","Newsletter - Substack","HIGH","Politics, Government Accountability, Local","Chicago, IL","Power & Politics, Civic Life","Substack /feed"
"Austin Kocher","Austin Kocher","https://austinkocher.substack.com","https://austinkocher.substack.com/feed","Newsletter - Substack","HIGH","Immigration, Law/Legal Issues","New York, NY","Social Issues, Power & Politics","Substack /feed"
"Ayana Elizabeth Johnson","What If We Get It Right?","https://ayanaelizabeth.substack.com","https://ayanaelizabeth.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment","New York, NY","Science, Health & Environment","Substack /feed"
"Azi Paybarah","Azi Paybarah","https://azipaybarah.substack.com","https://azipaybarah.substack.com/feed","Newsletter - Substack","HIGH","Politics","Washington, D.C.","Power & Politics","Substack /feed"
"Baxstar Jonmarie Ferguson","Well Beings News","https://well.beings.news","https://well.beings.news/feed","Newsletter - Beehiiv","HIGH","Identity/Belonging, LGBTQIA, Health/Wellness","International","Science, Health & Environment, Social Issues","Beehiiv /feed"
"Ben Shapiro","The Ben Shapiro Show","https://www.youtube.com/@BenShapiro","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Politics","Nashville, TN","Power & Politics","fetch https://www.youtube.com/@BenShapiro extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Ben Thompson","Stratechery","https://stratechery.com","https://stratechery.com/feed","Website","MEDIUM","Tech, Media/Power","Taiwan","Culture & Media, Money & Work","WordPress likely; custom sites may 404"
"Ben Werdmüller","Werd I/O","https://werd.io","https://werd.io/feed","Website","MEDIUM","Tech","New York, NY","Money & Work","WordPress likely; custom sites may 404"
"Ben Whitelaw","Ctrl-Alt-Speech","https://ctrlaltspeech.com","NEEDS_LOOKUP","Podcast","PENDING","Tech","United Kingdom","Money & Work","Check Listen Notes for feed URL"
"Bennett Z. Kobb","Experimental Radio News","https://www.experimentalradio.news","https://www.experimentalradio.news/rss","Newsetter - Ghost","HIGH","Tech, Policy","Texas - US","Power & Politics, Money & Work","Ghost /rss"
"Beth Shelburne","Moth to flame","https://bethshelburne.substack.com","https://bethshelburne.substack.com/feed","Newsletter - Substack","HIGH","Law/Legal Issues, Investigative","Alabama - US","Journalism Formats, Power & Politics","Substack /feed"
"Bill Bishop","Sinocism","https://sinocism.com","https://sinocism.com/feed","Newsletter - Substack","HIGH","World","International","General News","Substack /feed"
"Bill McBride","CalculatedRisk","https://calculatedrisk.substack.com","https://calculatedrisk.substack.com/feed","Newsletter - Substack","HIGH","Finance/Economics, Real Estate","Newport Beach, CA","Money & Work","Substack /feed"
"Bill McKibben","The Crucial Years","https://billmckibben.substack.com","https://billmckibben.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment, Politics, Government Accountability, Activism","Vermont, U.S.","Social Issues, Science, Health & Environment, Power & Politics","Substack /feed"
"Bill Nye","Bill Nye","https://www.billnye.com","https://www.billnye.com/feed","Website","MEDIUM","Science","National - US","Science, Health & Environment","WordPress likely; custom sites may 404"
"Bill Spindle","The Energy Adventure(r)","https://billspindle.substack.com","https://billspindle.substack.com/feed","Newsletter - Substack","HIGH","Climate/Environment, Energy","New York, NY","Science, Health & Environment","Substack /feed"
"Blog A Bull","Blogabull.com","https://www.blogabull.com","https://www.blogabull.com/feed","Newsletter - Substack","HIGH","Sports, Local","Chicago, IL","Civic Life, Lifestyle & Personal Life","Substack /feed"
"Bobby Ross Jr.","Religion Unplugged's Weekend Plug-In","https://weekendplugin.substack.com","https://weekendplugin.substack.com/feed","Newsletter - Substack","HIGH","Faith/Religion, Media/Power","Oklahoma - US","Social Issues, Culture & Media","Substack /feed"
"Brad DeLong","Grasping Reality","https://braddelong.substack.com","https://braddelong.substack.com/feed","Newsletter - Substack","HIGH","Finance/Economics, History","California - US","Money & Work, Culture & Media","Substack /feed"
"Bradley Onishi","Straight White American Jesus","https://www.straightwhiteamericanjesus.com","NEEDS_LOOKUP","Podcast","PENDING","Faith/Religion","San Francisco, CA","Social Issues","Check Listen Notes for feed URL"
"Brady Dale","Front Stage Exit","https://www.frontstageexit.com","https://www.frontstageexit.com/feed","Newsletter - Substack","HIGH","Tech","New York, NY","Money & Work","Substack /feed"
"Brandon Perna","Thats Good Sports","https://www.youtube.com/user/thatsgoodsports","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Sports","National - US","Lifestyle & Personal Life","fetch https://www.youtube.com/user/thatsgoodsports extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Brandon Tyler","Sweater Weather","https://sweaterweather.substack.com","https://sweaterweather.substack.com/feed","Newsletter - Substack","HIGH","Politics, Activism, Faith/Religion","","Social Issues, Power & Politics","Substack /feed"
"Branko Milanovic","Global Inequality and More 3.0","https://branko2f7.substack.com","https://branko2f7.substack.com/feed","Newsletter - Substack","HIGH","World, Finance/Economics","New York, NY","Money & Work, General News","Substack /feed"
"Breanna Morello","Independent Newsroom","https://breannamorello.beehiiv.com","https://breannamorello.beehiiv.com/feed","Newsletter - Beehiiv","HIGH","Media/Power, Politics","Texas - US","Culture & Media, Power & Politics","Beehiiv /feed"
"Brett Bristow","Tech with Brett","https://www.youtube.com/@TechWithBrett","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Tech","Utah - US","Money & Work","fetch https://www.youtube.com/@TechWithBrett extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Brett Cooper","THE SCROLL","https://brettcooper.beehiiv.com","https://brettcooper.beehiiv.com/feed","Newsletter - Beehiiv","HIGH","Politics, Culture","Nashville, TN","Culture & Media, Power & Politics","Beehiiv /feed"
"Brett Kollmann","Brett Kollmann","https://www.youtube.com/c/BrettKollmann","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Sports","National - US","Lifestyle & Personal Life","fetch https://www.youtube.com/c/BrettKollmann extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Briahna Gray","Bad Faith","https://www.youtube.com/@BadFaithPodcast","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Politics","National - US","Power & Politics","fetch https://www.youtube.com/@BadFaithPodcast extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Briahna Joy Grey","Bad Faith","https://www.youtube.com/@BadFaithPodcast","NEEDS_LOOKUP","Podcast","PENDING","Politics, Culture","Washington, D.C.","Culture & Media, Power & Politics","Check Listen Notes for feed URL"
"Brian Albrecht","Economic Forces","https://www.economicforces.xyz","https://www.economicforces.xyz/feed","Newsletter - Substack","HIGH","Finance/Economics","Oregon - US","Money & Work","Substack /feed"
"Brian Krebs","Krebs on Security","https://krebsonsecurity.com","https://krebsonsecurity.com/feed","Website","MEDIUM","Tech","Washington, D.C.","Money & Work","WordPress likely; custom sites may 404"
"Brian Merchant","Blood in the Machine","https://www.bloodinthemachine.com","https://www.bloodinthemachine.com/feed","Newsletter - Substack","HIGH","Tech","Los Angeles, CA","Money & Work","Substack /feed"
"Brian Morrissey","The Rebooting","https://www.therebooting.com","https://www.therebooting.com/feed","Newsletter - Beehiiv","HIGH","Media/Power, Tech","New York, NY","Culture & Media, Money & Work","Beehiiv /feed"
"Brian Potter","Construction Physics","https://www.construction-physics.com","https://www.construction-physics.com/feed","Newsletter - Substack","HIGH","Business, Construction","Atlanta, GA","Money & Work, Civic Life","Substack /feed"
"Brian Read","Automate Your Life","https://www.youtube.com/@AutomateYourLife","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Tech","Canada","Money & Work","fetch https://www.youtube.com/@AutomateYourLife extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
